英文,中文
accident,事故，意外事件，机遇，附属品
bottle,瓶子
stomach,胃/胃口;，肚子/腹部;，欲望/志趣，消化/忍受
program,程序/规划/计划，拟...计划，节目
weekday,工作日，普通日
bush,灌木丛，粗鲁的，粗糙但实用的
wind,风/气流，蜿蜒/缠绕，管乐器，使喘不过气来
fox,狐狸，狡猾的人，狐皮
grape,葡萄，深紫色
new,新的，新鲜的，新到的，现代的
divide,分，划分/分配，分离，使产生分歧
company,公司/作伴/伴侣，客人/连队，(社交)集会/聚会
listen,倾听，留心听，听信
want,想要，希望，打算，需要…在场
iron,熨烫/熨衣，顽强/残酷的
can,可以，能，能够，可能
kilometer,<美>千米，公里
extra,额外的，补充的，附加的，特别的
cigarette,香烟
fruit,水果，果实，成果
environment,环境，外界，周围，围绕，(运行)环境
thirtieth,第30，1/30
lesson,功课，训诫，课程，训斥，教课，向…授课
attention,注意，注意力，照料，关怀
anymore,现在，不再，目前，今后
strong,强烈的，坚强的，强壮的
darkness,黑暗，阴郁，模糊，无知
shake,"摇动,，使震动,，动摇，发抖，握手"
shade,荫凉处/阴暗，遮蔽，使渐变/逐渐变化
lap,膝，下摆，一圈跑道/范围
next,紧接在后的，贴近的，次于的，紧邻的
early,早期的，早日的，早熟的，提早，在初期，先前
shine,发出光，反射光，闪耀，出类拔萃/表现突出，好天气，诡计
value,价值，价格，意义/涵义，重要性
review,查看，检查/审查，复习
eastern,东方的，东部的，朝东的
outside,在外面，向外面，露天，外部的
december,12月
board,板，甲板，董事会，寄宿
tutor,导师，家教，任大学导师，任课
tutorial,导师的，私人教师的，辅导的，使用说明
design,设计，计划，企图，决意做
sign,符号/标记，前兆/指示牌，签名
climb,爬/攀登，上升，登山
wall,墙，隔阂/壁垒，筑墙围住
worse,更坏/恶化的，严重的，更厉害的
finger,手指，指状物，指针，用手指触摸
everywhere,到处，处处，无论什么地方
daughter,女儿，产物，后代
impossible,不可能的，难忍受的，不会的，不能相信的
topic,主题/标题，话题/论题
negative,消极的，否认的，负数的，反抗性/拒绝性的
meat,肉，食物，实质/重要的/基本的
size,规模，大小，尺寸
bicycle,自行车，脚踏车
university,综合大学，大学人员，大学校舍
comment,评论，注释，意见，说明
furry,毛皮的，毛皮制的，（俚语俗称可怕的）
heel,脚后跟，鞋袜等的后跟，踵状物
lung,肺，呼吸器官
this,这/这个/这事，这人/这时，下面所说的事
child,小孩，孩子，幼稚的人，产物，弟子
view,看法，风景，视域，视图，视察
parent,爸或妈，先辈，根源，保护者
sugar,食糖，宝贝儿，亲爱的
around,大约，到处/四处/在周围，旋转
fact,事实/实情/真相，证据/犯罪行为
course,课程，一道菜，航线/方向/过程/追猎
slide,滑落/下跌/降低，打滑，幻灯片
repeat,重复，复述/背诵
tooth,齿;牙，齿状部份
move,移动，搬动 改变;迁移
Monday,星期一
Tuesday,星期二
Wednesday,星期三
Thursday,星期四
Friday,星期五
Saturday,星期六
Sunday,星期日
pronoun,代词
beside,在…旁边，在…一侧/附近，与…无关（表排斥），除…之外;（表位置）
suggest,建议/提议，暗示/使想起/启示
its,(it的所有格)它的
recent,最近的，新近的，近代的
infinitive,（动词）不定式
sit,坐落，处在（在…中），任职（议会、委员会、法庭等），开会
push,推，推动/推进，增加，努力争取
again,再次，再说，此外，不过
bright,明亮/鲜亮的，辉煌的，聪明活泼的，机灵乖巧的
right,立刻/马上，右/向右，恰当地，一直，权利，正确/正当
pink,粉红色的，略带左翼政治观点的，与同性恋有关的
late,已故的，晚的，迟到的/之前的，时间不早的，原来的，临近终了的
clock,钟，时钟，计时器，秒表，仪表
sixty,六十
most,最，最多（大），非常，很，几乎，最大限度，大多数人
horse,马，骑兵
november,11月
cancer,癌症/恶性肿瘤，弊病，社会恶习
tunnel,隧道，地道，烟道，动物栖息的穴
meter,米/公尺，韵律/格律，计量，仪表/计量器
relax,使轻松，使松弛，使放松，缓和/减轻
tired,"adj. ?疲累的, 厌倦的, 疲乏的"
tiredness,n. ?疲劳; 疲倦
radio,无线电，收音机，无电广播台，无线电收发机
candle,蜡烛，烛光，烛状物
correct,"adj. ?正确的, 品行端正的  v.  改正/矫正;/校准"
fit,安装，合身/合适的，恰当的/合身的，健壮的
fix,固定，修理，准备，使牢固
mix,混合，相容，平安相处，混录/乐曲组合
catch,抓，捕获量，挂钩，赶上/接住，引起，看见
worm,"虫 / 蚯蚓 /蠕虫,，无脚无脊椎动物，奴性的人，使蠕行,除虫"
worldwide,adj. ?全世界的
wormhole,n. ?虫孔; 蛀洞
worldly ?,"adj. ?世间的, 世上的, 世俗的"
gate,门，闸门，登机门，入场费
gateway,入口，门，途径
climb,爬，攀登，上升，登山，山，岩，增值，晋升
personal,个人的/私人的，身体的，亲自的，个人简讯
sandwich,三明治，状似三明治的东西
couple,对/双，配偶，夫妻，两三个
webside,网站
column,专栏，圆柱，纵队，列（可理解为竖着的一列column）
consider,考虑，把某人/某事看作…，认为某/事，如何，考虑/细想
stomachache,胃痛，腹痛
mom,<美>妈妈
standard,标准/规格，旗/军旗，度量标准/直立支柱，合格的，普遍
wise,聪明/有智慧的/博学/博识的，明白的/知道
spread,伸展开，使传播，使散布，涂，把…覆盖在…上，把…敲平，散发气/烟等
instance,情况;例子，实例;要求，建议
ache,疼痛;渴望
queen,女王/王后/杰出女性， （国际象棋中的）王后
skirt,裙子，边缘，位于…的边缘，沿…的边缘走，绕开/避开
fear,害怕，可能性，对神等的敬畏，害怕/畏惧，为…忧虑
girlfriend,女朋友，女性朋友
hunger,饿，饥饿;欲望
march,（坚定地向某地）前进;行军，进军/进展/进行/使前进，3月
warn,警告，告诫，通知/预告
hurry,匆忙，急忙 仓促做某事，催促，朝某方向迅速移动或处理
business,生意/交易，商业，事务，业务，职业/行业
soldier,士兵;战士;军人 坚持;硬挺着
clerk,店员/职员/办事员，书记员，教士
way,方法，道路，方向，方面
conference,会议，讨论，讨论会，举行或参加系列会议
industry,工业，产业（经济词汇），工业界，勤劳
represent,象征/代表/代理，扮演，作为示范
bottom,底部/末端/臀部，尽头，到达底部，建立基础
alone,单独的/独自的，独一无二的，孤独地，只/只有
whale,鲸，巨大的事物
x-ray,X光照片
cow,奶牛/乳牛，母兽/雌（象，鲸等），对女性的蔑称
ask,询问，需要/要求，请求/邀请
sudden,突然的，未预见到的，急躁/仓促的，快的/迅速的，急剧
since,自从，从…以来
belong,属于，是…的成员，应被放在，适应
shark,鲨鱼，坑蒙拐骗的人/诈骗者
everyday,每天/日常的，平常的/普通的
polite,礼貌的/有教养的，文雅/上流社会的，应酬/客套的
impolite,不礼貌的，失礼的，粗鲁的;不客气;悖礼;非礼
solution,溶液，解决/溶解/答案，处理问题
above,超过/高于，在…之上，上述的
every,每个，所有可能的，充足的
face,脸/面容，方面/表面，面对，面向…，正视/承认
soup,汤/羹/浓雾/困境
double,双的/两倍的，两面派的，双人用的，使加倍，重复
east,东部，向东方，来自东方的
west,西方的
proud,自豪的/得意的/光荣的，高尚的，傲慢的，有自尊心的
shy,害羞/怕羞的，害怕（做），<美>缺乏的
schoolwork,功课;家庭作业
ever,永远;曾经，这以前;究竟，到底;可能
small,小的，难为情的，低级/卑劣的，细微/微弱的
west,西，西部，西方 向西，朝西;自西方;向西方
labor,努力争取，苦干/劳工/努力，工作
space,空间/太空，空白/间隔，空隙，片刻
key,钥匙;（打字机等的）键;关键，线索;（音乐的）调，主要的
old,古老的，以前的，（用于指称被替代的东西）原来的
game,游戏，运动竞赛，诡计，打赌
large,大大地/夸大地，详细地，顺风地，大规模的，大型号的，广泛的
smell,嗅/闻，闻出/发觉/查出，发出…的气味
sunday,星期日
one,一个;（数字）一;（基数）一，第一
enjoy,喜欢，欣赏，享有/享受，使过得快活
ours,我们的
ugly,丑陋/难看的，有敌意/不祥的
sheep,羊，绵羊，胆小鬼，易受人摆布的人
people,人民，人/人类，居民/种族/居住于，使住满人
upstairs,在楼上，在高空
bird,鸟/禽，<俚>少女，姑娘
trouble,麻烦/故障，烦恼，动乱，折磨
fight,战斗/斗争，打架，吵架
duck,鸭肉，鸭子/野鸭，回避，潜入，迅速行进
fast,快的，走得快，感光快的，紧的
theirs,他们的，他的或她的
pronounce,发音，读 宣布，宣称;演讲，讲述
oneself,自身，亲自，亲手
slice,切成片，划分，薄片，一部分
foot,脚/脚步，底部/英尺
amount,数量，总额，全部效果，接近，合计，总共
slipper,拖鞋，（室内）便鞋;
turkey,火鸡，蠢货，失败之作
international,国际的，多国之间的，超越国界的，国际组织
open,开着的，公开的/公共的，坦率，打开，开始，启动
second,第二，次要的，居第2位的，另外的，秒
brithday,生日
million,百万，无数的
everybody,各位;每人，人人，大伙儿
station,车站，所，局，电视台，配置，安置/驻扎
nice,美好的，愉快，正派的，友好的，亲切的
tree,树，树状图，宗谱，使处于困境
breath,呼吸，呼吸力，微量
capital,首都，资源，大写字母，资本的，极好的
make,做，制造，生产，制定，使成为，使产生
twelve,12，12个，十二点/岁
september,九月
verb,动词;动词结构
elephant,象，大象
sail,航行，起航，驾驶帆船，航行距离
or,还是;或，或者;不然，否则;左右
specially,特别地，特意地，格外地
block,块，街区，大厦，障碍物，阻碍/阻止/阻塞/限制
let,允许，任由，让，随，假设，出租
pound,磅/英镑，兽栏，重击声/连续重击，咚咚地走
maybe,也许，可能，大概
lose,失去，错过，遗失，耽搁
cup,杯子，一杯（的量）;（胸罩的）罩杯
on,（表示方向）向;（表示对象）对;（表示位置）在…上;（表示时间）在…之时
duty,责任，职责，义务，税收
waste,浪费/挥霍，废料/废品/废物，荒地，荒芜
guidebook,旅行指南
rich,富有的，肥沃的，丰富多彩的，油腻的
owner,物主，所有人
woman,女人，成年女子，女拥人或女下属
queue,行列，长队，使排队，列队等待，辫子
line,线条，排，行列，界线，形成一层
exercise,练习;运动，训练;运用;典礼
improve,提高，利用(机会)，改善，改良
absent,缺席/不在场的，缺少/缺乏的，不在意的，茫然的
own,自己的事物，自己人
spend,花费/消耗，度过，花时间，花销/开销
equipment,设备，装备，配件，(工作必需的)知识&素养
sense,感觉/意识/理念/领会/理解，理性，识别力
so,这样，很(表程度)，这么，如此/这样，大约，真的，整齐的
lost,失去的，迷路的，不知所措，遗失
string,串，绳子/带子/线丝，植物纤维，使排成行或列， [计算机]字符串
emotion,情绪，情感/感情，感动/激动
program,程序，节目，节目单，计划，安排
seven,7，7个，第7
down,向下，(坐、倒、躺)下，（表示范围或顺序的限度）下至
love,喜欢，爱，热爱，爱戴，赞美，称赞
library,图书馆，书屋/书斋，图书出租处
twice,两次，两倍，两遍
yesterday,昨天，往昔，<正式>过去
guy,家伙，伙计
star,明星，星，星级，星状物
danger,危险，危险物，威胁
succeed,成功，继承，继任，随…之后
blackboard,黑板
flee,逃走，逃掉，消失
avoid,避开，避免，预防，撤销，废止
subject,主题，话题，学科/科目
tape,卷尺，胶带，磁带
about,关于，大约，在…周围，在流行中的
restroom,<美>公用厕所，卫生间
ninth,第9，1/9
month,月，月份
remain,剩余物，残骸/遗体，残余/遗迹 保持，依然，留下/逗留，终属/归于
wound,伤口，创伤，伤害
advice,建议/忠告/劝告，(商业)通知，（政治，外交)报导/报告
rabbit,兔子，野兔，兔子皮毛
supper,晚饭，晚餐，夜点心，晚餐会
know,知道;了解;认识;确信
arm,臂，武器，[复数]战事，权力，准备（斗争）
quit,离开/抛弃，放弃，停止，中断，偿清
care,照顾，关心，担心，喜爱
ten,十，十个;第十
guest,客人，旅客，特邀嘉宾，[动]寄生虫
dog,狗，蹩脚货，丑女人，卑鄙小人
outstanding,杰出的，显著的，未完成的
silk,丝/丝制的/蚕丝，丝绸/丝织物，丝制的
band,聚集，联合(起来)，用带绑扎，划档次，把…联合
specific,具体 / 明确 / 特种的;[免疫学]特效的药，显著的性质
produce,生产 / 制作 /创作 /制造 / 引起 /[经济学]生利
champion,冠军 / 捍卫 /战士，优胜的 / 一流的
local,局部的;地方的;当地的，本地的;褊狭的
her,(she的宾格)她，(she的所有格)她的，她
probably,大概，或许，很可能
distance,远处;距离，路程;疏远;间隔，长久/疏远;与…保持距离
river,河，江;溪，巨流
servant,仆人/佣人;[美]奴仆，奴隶;公务/服务员，献身…的人
group,组，团体;群，批/群像;成群，集合
up,在上面/在高处，向上，由低到高，上升/竖立的，垂直的，举起的
member,成员，分子，身体部位(尤指胳膊或腿)，构件，部件
especially,尤其地，主要地，格外地，显著地，异常地
immediately,立即，马上，直接地，紧接地，一…就，即刻
material,素材/材料/原料，织物，适当人选，肉体的，决定性的，辩证/推论的
phrase,成语，乐句，说法，<语>短语，叙述，措词
speech,演讲 / 发言，谈话，说话能力或方式
five,第5，5个，5
cross,十字架，十字饰物，杂交品种，痛苦，交错，横渡/越境，使相交
latest,最新的事物or消息，最新or近的，最现代的
metal,金属，金属元素，成色
president,总统，总裁，校长，董事长
thank,谢谢，感谢，把…归于
because,因为
suit,一套外衣/西装，恳求（注：尤指服装、颜色等相配/合身）
bank,银行;（条形的）堆;（河的）岸，库存
dinner,晚餐，宴会，主餐
fly,飞/飞行，飘荡，飞机，驾驶飞机等
travel,旅行，移动，漫游，传送，前进/行进
wet,湿的/下雨的/懦弱的，湿地，液体，窝囊废，雨天
behind,(表位置)在…后面，支持，(表顺序)在后，(表比较)落后于
english,英语/英国的，英格兰的/英格兰人的
calm,镇定的，(海洋，天气等)安静/平静的，从容不迫的
young,年幼的;青年的;有朝气的;年轻人的
cream,乳霜，精英，奶油色，乳脂，奶油
scene,场面，现场，景色，风景，事件
thrill,使激动/陶醉，使颤动/战栗，  [病]震颤，兴奋感
july,七月
jungle,热带丛林，丛林音乐，乱七八糟的一堆事物，尔虞我诈的环境
dismiss,把…免职，遣散/解散（队伍等）;驳回，拒绝受理，搁置
hen,母鸡，雌禽
couple,对/双，配偶/夫妻，连接，性交
cock,公鸡，龙头，成熟雄鸟，首领，领导，翘起，大摇大摆
chick,小鸡，少妇，小鸟
symbol,符号，象征，标志，记号
fifteenth,第十五，1/15
receive,收到，接待，接纳
plate,盘子/盆子，金属板，[摄]底片，感光版
walk,步行，散步，遛，赶着…走
zero,数字0，全无的/没有的，聚焦/集中
friendship,友情/友谊，友善的关系，好意
ear,耳朵，听觉，听力，耳状物
plain,平原 / 朴实无华 / 清晰的 / 明白地
machine,机器，机械，核心，用机器制造or加工
wait,等待，等候，(尤指长期地)希望，盼望
laugh,发笑/嘲笑，（因成功而)处于有利地位，引人发笑的事或人
math,数学（等于mathematics）
Friday,星期五，周五，礼拜五;
eat,吃/喝，吃完
unpleasant,讨厌的，使人不愉快的，不合意的
natural,自然的，天生的，物质的，不做作的
asleep,睡着的，熟睡地，处于麻木不仁的状态，长眠
private,私有的，私人的，秘密的，内心的，生殖器
translate,翻译，转化，解释，被翻译
knife,匕首，手术刀，伤害，劈开，划过
indoors,在屋里，在室内
milk,母乳，乳液 ，挤奶，榨取
feel,感觉，认为，触摸，试探，以为
type,类型，于…类型的
rush,匆促，急流， 冲进，匆忙，冲/闯
teen,青少年(等于teenager)，伤害，痛苦，悲伤;愤怒
idol,偶像，崇拜物，幽灵，谬论，幻觉
dessert,餐后甜食
drop,落下;投下;（使）降低;减少 放弃;停止;（故意）
three,三;三个;第三（章，页等）
post,岗位，邮政/邮件，柱， 张贴，宣布，设岗
eighth,1/8;第八，八号
such,这样的，如此的，这么大
egg,卵，鸡蛋，蛋，怂恿;
cut,切开或分割，削减，删剪
also,也，同样，并且
method,方法，条理
either,两者任何一个，两者中任一的，非此即彼，两者择一
smile,微笑，笑容  以微笑表示
smooth,光滑的，流畅的，柔软的，温和/安详/优雅
army,军队;陆军/野战军
armed,已武装的 / 有防卫器官的 （“arm”的过去式和过去分词）
retain,保持 /留在心中 /记住 /雇用 /付定金保留
arm,臂;武器;[复数]战事;权力 准备（斗争），准备行动（against）
matter,事件 /  物质 / 原因
a couple of,几个，一对
saw,SEE看到的过去式
dargen,花园
fetch,接来（某人）;吸引 /取来 / 抵达 /到达
fantastic,极好的，级出色的，不实际的，奇异/古怪的
layer,层，层次;膜 /把…分层堆放
transport,运送/运输/流放
translate,翻译;转化;解释;
brief,简洁的，简明的
trunk,树干;躯干;象鼻
access,入口，出口;接近/增长/接近，进入;使用
association,"协会, 公会, 社团; 结合, 联合; 联盟; 交往"
privilege,特权 /权益 / 免责特权;特殊荣幸
January,一月
February,二月
March,三月
April,四月
May,五月
June,六月
July,七月
August,八月
September,九月
October,十月
November,十一月
December,十二月
Aggregation,聚集;集结;集成;聚集体
summary,"摘要, 概要"
redistribution,重新分配; 再分配
staff,在…工作，任职于 /参谋的
dull,呆滞/迟钝的，阴暗的 /单调
metal,金属;金属元素;成色;金色
perhaps,或许;（表示不确定）也许; 假定
huge,巨大的;庞大的;极大的
degree,程度/学位 ;[数]度，度数
body,身体;尸体;团体;物体
pretend,假装，佯装
lie,谎言，谎话，处于，位于
tag,标签，附加
homeless,无家可归的
shoulder,负担，承担
hit,打，击中，碰撞
hand,手，交，给，帮助，指针
rat,鼠rat  老鼠mouse
particular,特别的;详细的;独有的，细情
organize,组织;安排;规划;建立组织
stay,停留;停止;坚持;抑制 / 继续处于某种状态
brother,兄弟;同事，同胞;同志
law,法;规律;法学;法制 /控告;对…起诉
son,儿子;孩子;男性后裔;圣子
comfortable,舒适的;安逸的，处于轻松的;充裕的
hardly,几乎不，简直不，刚刚/仅仅
store,店铺，仓库，储藏，储备
raincoat,雨衣
yin,阴阳的阴
noise,声响，噪音
fire,火灾;火，燃烧物;射击 / 热情
drive,驱动  / 驾驶 /迫使
stamp,邮票，标志，脚踏，盖印章，重步走
edge,边缘，刀口，优越
medal,奖牌，奖章
neighbor,邻居，邻国，邻近的，邻接的
remember,记得;牢记
smart,聪明&漂亮的，精明的，剧痛
leg,腿;支柱，支架;裤腿
relation,关系，关联，亲戚，亲属
singer,歌手
hello,打招呼;哈喽，喂;你好，您好;表示问候
nine,九;九个;第九
swing,秋千，摇摆，摆动，振幅
creature,人or动物，创造物 ，(他人的)工具
worry,担心;烦恼，忧虑;撕咬
southeast,东南地区;东南，东南方，（美国）东南部
custom,习惯 / 惯例 / 风俗 / 海关 / 关税
bear,熊，忍受，负担
joy,喜悦，快乐，高兴，高兴的事或人，成功，好运
ton,吨;大量，许多
wealth,财产，财富，富豪阶级，丰富，繁荣
direct,直接的;直的;直系的;率直的
class,班;阶级;等级;种类 属于…类
agree,同意，赞同
tiger,老虎;各种猫科动物;凶恶的人，虎狼之徒
life,生活，生计;生命，性命;一生
dream,梦想;做梦;梦见;想到
amazing,令人惊异的 / 惊奇的
set,一套/副/批 调整/设置/安置/落下/凝结
helpful,给予帮助的，有益的;愿意帮忙的
extra,额外的，补充的，附加的;特大的，特别的
general,普遍的;大致的;综合的;总的，全体的
root,根，根源;原因，本质;祖先
little,小的;琐碎的;娇小的;幼小的 一点;短时间地
problem,问题;疑难问题;习题;引起麻烦的人
thirteen,十三;十三岁;十三个
parrot,鹦鹉，应声虫
throat,嗓子，喉咙
drum,鼓/鼓状物，有节奏的敲击
pity,同情，怜悯，可怜，遗憾
cool,凉爽的;冷静的;一流的;孤傲冷漠的
hospital,医院;收容所;养老院;〈古〉旅客招待所
person,人;（语法）人称;身体;容貌
aloud,大声;高声
sleep,睡，睡觉  为…提供床位;提供住宿
dollar,美元;一元纸[硬]币;金钱;财富
pierce,刺破;刺穿，戳穿;洞察;深深打动
support,支持;支撑;帮助;维持
wife,妻子，太太;夫人，老婆;已婚妇女
four,四;四个;第四
pretty, 相当，颇 漂亮/ 机灵 /聪明的
sick,恶心的;晕船;不舒服的;腻烦的
fail,失败，不及格;倒闭 失误；衰退
lamp,灯;发热灯，照射灯
western,西方的;欧美的
offend,冒犯 / 伤害，违反，不舒服
silver,银，镀银，银器，银币
wood,树木，木材，树林，林地
cost,开销，代价;花费，费用;牺牲
argue,辩论; 主张; 议论; 说服; 争论
influence,影响;势力;有影响的人（或事物）
overseas,在[向]海外，在[向]国外
internet,互联网
chocolate,巧克力;巧克力色;巧克力糖
market,市场，股市，销售，出售
kitchen,厨房，餐具
state,国家/州  情况 /资格/状况
task,作业;工作，任务;苦差事
cook,烹调;编造;篡改;密谋
while,而;虽然;在…期间;与…同时
eight,八;八个;第八
bring,导致;带来，引来;促使
mystery,秘密，谜;神秘，神秘的事物
nurse,护士，看护，保姆
stop,停止;中断;逗留;（使）停止工作
father,父亲;天父;祖先;（尤指天主教和东正教的）神父
very,很，非常;恰好是，正是;十足的;特有的
buy,购买，购得 / 交易
exchange,交换;交易所;交易;兑换（率）
something,某物/事/人 非常;有点;大约
already,早已，已经;先前
potato,马铃薯， 土豆，洋芋;土豆块茎
candy,糖果;冰糖;
beard,胡须
price,代价;价格，价钱;价值;赏金
arrive,到达，来;发生
war,战争;战争期间;
laboratory,实验室;实验课;研究室
boring,无聊的，无趣的;令人厌烦的;
discount,打折扣，减价出售;减息贷款，减量
culture,"?文化, 耕种, 修养"
imagine,想像，设想;料想，猜想
umbrella,雨伞;〈比喻〉保护物;
balloon,气球;热气球;
traffic,交通，运输量;（非法的）交易;通信量
communicate,传达，表达，清晰地揭示 / 通讯
house,房屋;全家人
chess,棋，国际象棋
salt,盐;风趣;机智，讽刺;药用盐，泻盐
head,头部;头脑;上端;首脑，首长
less,较小的;较少的（little的比较级）
award,给予，授予，奖品，报酬
cage,笼子;牢房; 把…关入牢中;把…关进笼内
themselves,他[她，它]们自己;他们亲自
fall,跌倒;落下;减少;沦陷
cancel,取消，注销;抵消，偿还
forward,面向，朝向，位于前面，前面的
oil,油;石油;燃油;油画
pioneer,先驱者，开创者，领导
unfamiliar,陌生的;不熟悉的;不常见的
village,村民;乡村，村庄;群落
sofa,沙发
speed,速度;快速;昌盛  加快…的速度;使成功，使繁荣
knock,短促的敲打（声）;爆震声;敲击声
score,得分;分数;总谱; 评分;得分;
examine,检查，调查;考试;诊察;审问
shell,外壳;炮弹;（贝、卵、坚果等的）壳;（人的）表面性格
necessary,必要的;强制的;必然的;必须的
shirt,衬衫，衬衣;内衣，汗衫
eraser,橡皮擦，板擦
pond,池塘
check,检查，核对;制止，抑制;在…上打勾
vegetable,蔬菜;植物人
article,物品;（报章杂志中的）文章，论文;条款
bamboo,竹子;竹竿;竹木家具
hot,热的;热门的;辣的;激动的
may,可以;会;也许;但愿
change,改变，变更;交换，替换;兑换;换衣服（床单）
thousand,一千;数千;许许多多;千位数
except,把…除外;不计
music,音乐;乐曲;乐谱;乐队
anywhere,任何地方;什么地方;无论何处
ham,火腿;（旧时的）小镇，村庄;大腿后部
unable,不能的，不会的;无能力的，不熟练的;不能胜任的
